# id,x,y,z,varphi1 [rad],phi [rad],varphi2 [rad],volume [um^3]
1.631000000000000000e+03,-8.777134338280754733e+00,-9.730587133211843209e+00,2.502553456600671566e+01,8.568712549000000456e-01,1.024229999999999974e+00,2.480733245000000142e+00,1.797770798129899106e+02
1.731000000000000000e+03,-1.158256315485706089e+01,1.313910173936651127e+01,2.564684937226940775e+01,-3.075386904999999782e+00,4.559630000000000072e-01,-8.096835967000000078e-01,2.807991436640758920e+01
1.785000000000000000e+03,2.007491146976350294e+01,1.904375227498839962e+01,2.703890476536475163e+01,3.136670780999999852e+00,4.700269999999999726e-01,7.411164905999999553e-01,7.655015191428757859e+00
1.972000000000000000e+03,1.043438728684016326e+01,-2.112812893370909606e+01,2.879770670931102927e+01,4.234005035000000250e-01,7.821540000000000159e-01,2.121854723000000220e+00,1.663131711531722772e+02
1.986000000000000000e+03,1.205725945379090014e+01,1.065535505036037200e+01,2.735762878267848563e+01,1.839496606999999895e-01,7.407620000000000315e-01,2.717763409999999880e+00,1.695477286369541403e+01
1.993000000000000000e+03,5.950228062861667055e+00,1.267890587796877888e+01,2.511907318058226579e+01,1.527600770000000052e+00,7.251469999999999860e-01,2.280271915999999788e+00,5.793538045435375494e+01
2.013000000000000000e+03,-2.836607994016151046e+00,-2.312267304344447716e+00,2.533237769757946367e+01,-1.837243033000000025e+00,7.778530000000000166e-01,-6.487083820000000278e-01,1.557427634692384366e+01
2.018000000000000000e+03,9.617968765995952296e+00,-1.412986241554475386e+00,2.631945854169166665e+01,-3.111352211999999895e+00,6.264490000000000336e-01,-6.551797691999999840e-01,7.266143354015949285e+01
2.034000000000000000e+03,1.547141187628627890e+01,1.311104309470339402e+01,2.996856795414622709e+01,2.003104972000000039e+00,4.307810000000000250e-01,1.036578551000000070e+00,6.074480652060228891e+01
2.045000000000000000e+03,9.210139946126835730e-02,-9.402566148486670272e+00,2.631733720247870423e+01,2.497755541000000079e+00,7.012260000000000160e-01,3.986812739000000216e-01,1.128488767203430720e+00
2.049000000000000000e+03,-1.242395720659047598e+01,-1.470384495374067768e+01,2.619191750316605294e+01,-2.750613689000000139e+00,8.195259999999999767e-01,-8.078016579000000252e-01,9.000056333431915334e+01
2.053000000000000000e+03,-1.189950298351680980e+00,-6.296812832896910628e+00,2.716532802305484040e+01,-1.198821351999999951e+00,6.582489999999999730e-01,-2.088227822999999983e+00,7.607081827386918960e+00
2.057000000000000000e+03,-7.426827688829664709e-01,-1.240583647130102030e+01,2.555226407809976052e+01,7.340226598000000324e-01,5.253179999999999517e-01,2.145476303999999779e+00,4.729529194336829789e+01
2.059000000000000000e+03,-1.044078868666918325e+01,1.455396323844390416e+01,2.895447787537017348e+01,6.211490548000000445e-01,9.898130000000000539e-01,2.561364193999999816e+00,5.116827570830405847e+01
2.072000000000000000e+03,1.165581142173412799e+00,-1.993577339492399902e+00,2.521427223563179965e+01,1.125968322000000077e+00,6.606039999999999690e-01,2.478595326000000210e+00,9.843568545135241266e+01
2.083000000000000000e+03,-3.028960912453058985e+00,7.726772751528748984e+00,2.627942283377722532e+01,-1.853705056999999989e+00,6.656830000000000247e-01,-9.563366371999999505e-01,2.098436175337320435e+02
2.092000000000000000e+03,3.076680452211549621e+00,1.244430996928780964e+01,2.641196638179966527e+01,1.979136438000000053e+00,7.675089999999999968e-01,1.031907930000000029e+00,5.084378147098016143e+01
2.096000000000000000e+03,1.437109606535192263e+01,-1.141276191837590659e+01,2.536864236062909583e+01,2.439149217000000203e+00,8.650400000000000311e-01,6.651146406000000288e-01,7.829157282801771700e+00
